id;name;inc;dummy1;dummy2;dummy3;dummy4;dummy5;dummy6;dummy7;dummy8;dummy9
10020;Abbeville, LA Micropolitan Statistical Area;29500;0;0;0;0;0;1;0;0;0
10100;Aberdeen, SD Micropolitan Statistical Area;34708.668;0;0;1;0;0;0;0;0;0
10140;Aberdeen, WA Micropolitan Statistical Area;34160;0;0;0;0;0;0;0;1;0
10220;Ada, OK Micropolitan Statistical Area;26955;0;0;0;0;0;1;0;0;1
10300;Adrian, MI Micropolitan Statistical Area;45739;0;1;0;0;0;0;0;0;0
10460;Alamogordo, NM Micropolitan Statistical Area;30861;0;0;0;0;0;0;1;0;0
10540;Albany-Lebanon, OR Micropolitan Statistical Area;37518;0;0;0;0;0;0;0;1;0
10620;Albemarle, NC Micropolitan Statistical Area;36898;0;0;0;1;0;0;0;0;1
10660;Albert Lea, MN Micropolitan Statistical Area;36964;0;0;1;0;0;0;0;0;1
10700;Albertville, AL Micropolitan Statistical Area;32167;0;0;0;0;1;0;0;0;0
10760;Alexander City, AL Micropolitan Statistical Area;30546.775;0;0;0;0;1;0;0;0;0
10820;Alexandria, MN Micropolitan Statistical Area;37703;0;0;1;0;0;0;0;0;1
10860;Alice, TX Micropolitan Statistical Area;28843;0;0;0;0;0;1;0;0;0
10880;Allegan, MI Micropolitan Statistical Area;45813;0;1;0;0;0;0;0;0;0
10940;Alma, MI Micropolitan Statistical Area;37262;0;1;0;0;0;0;0;0;1
10980;Alpena, MI Micropolitan Statistical Area;34177;0;1;0;0;0;0;0;0;1
11060;Altus, OK Micropolitan Statistical Area;30737;0;0;0;0;0;1;0;0;1
11140;Americus, GA Micropolitan Statistical Area;31019.223;0;0;0;1;0;0;0;0;1
11220;Amsterdam, NY Micropolitan Statistical Area;32128;1;0;0;0;0;0;0;0;0
11380;Andrews, TX Micropolitan Statistical Area;34036;0;0;0;0;0;1;0;0;1
11420;Angola, IN Micropolitan Statistical Area;44089;0;1;0;0;0;0;0;0;1
11580;Arcadia, FL Micropolitan Statistical Area;30714;0;0;0;1;0;0;0;0;1
11620;Ardmore, OK Micropolitan Statistical Area;29916.352;0;0;0;0;0;1;0;0;0
11660;Arkadelphia, AR Micropolitan Statistical Area;28845;0;0;0;0;0;1;0;0;0
11740;Ashland, OH Micropolitan Statistical Area;39179;0;1;0;0;0;0;0;0;1
11780;Ashtabula, OH Micropolitan Statistical Area;35607;0;1;0;0;0;0;0;0;0
11820;Astoria, OR Micropolitan Statistical Area;36301;0;0;0;0;0;0;0;1;0
11860;Atchison, KS Micropolitan Statistical Area;34355;0;0;1;0;0;0;0;0;1
11900;Athens, OH Micropolitan Statistical Area;27322;0;1;0;0;0;0;0;0;1
11940;Athens, TN Micropolitan Statistical Area;31919;0;0;0;0;1;0;0;0;1
11980;Athens, TX Micropolitan Statistical Area;32533;0;0;0;0;0;1;0;0;0
12140;Auburn, IN Micropolitan Statistical Area;44909;0;1;0;0;0;0;0;0;1
12180;Auburn, NY Micropolitan Statistical Area;37487;1;0;0;0;0;0;0;0;0
12300;Augusta-Waterville, ME Micropolitan Statistical Area;36498;0;0;0;0;0;0;0;0;0
12380;Austin, MN Micropolitan Statistical Area;36654;0;0;1;0;0;0;0;0;1
12460;Bainbridge, GA Micropolitan Statistical Area;28820;0;0;0;1;0;0;0;0;1
12660;Baraboo, WI Micropolitan Statistical Area;41941;0;1;0;0;0;0;0;0;0
12740;Barre, VT Micropolitan Statistical Area;40972;0;0;0;0;0;0;0;0;0
12780;Bartlesville, OK Micropolitan Statistical Area;35816;0;0;0;0;0;1;0;0;1
12820;Bastrop, LA Micropolitan Statistical Area;25124;0;0;0;0;0;1;0;0;1
12860;Batavia, NY Micropolitan Statistical Area;40542;1;0;0;0;0;0;0;0;1
12900;Batesville, AR Micropolitan Statistical Area;31920;0;0;0;0;0;1;0;0;1
13060;Bay City, TX Micropolitan Statistical Area;32174;0;0;0;0;0;1;0;0;0
13100;Beatrice, NE Micropolitan Statistical Area;34908;0;0;1;0;0;0;0;0;1
13180;Beaver Dam, WI Micropolitan Statistical Area;45190;0;1;0;0;0;0;0;0;0
13220;Beckley, WV Micropolitan Statistical Area;28181;0;0;0;1;0;0;0;0;1
13260;Bedford, IN Micropolitan Statistical Area;36280;0;1;0;0;0;0;0;0;1
13300;Beeville, TX Micropolitan Statistical Area;28392;0;0;0;0;0;1;0;0;1
13340;Bellefontaine, OH Micropolitan Statistical Area;41479;0;1;0;0;0;0;0;0;1
13420;Bemidji, MN Micropolitan Statistical Area;33392;0;0;1;0;0;0;0;0;0
13500;Bennettsville, SC Micropolitan Statistical Area;26598;0;0;0;1;0;0;0;0;1
13540;Bennington, VT Micropolitan Statistical Area;39926;0;0;0;0;0;0;0;0;0
13620;Berlin, NH-VT Micropolitan Statistical Area;33086.5;0;0;0;0;0;0;0;0;0
13660;Big Rapids, MI Micropolitan Statistical Area;33849;0;1;0;0;0;0;0;0;0
13700;Big Spring, TX Micropolitan Statistical Area;30805;0;0;0;0;0;1;0;0;1
13860;Bishop, CA Micropolitan Statistical Area;35006;0;0;0;0;0;0;0;1;0
13940;Blackfoot, ID Micropolitan Statistical Area;36423;0;0;0;0;0;0;1;0;0
14100;Bloomsburg-Berwick, PA Micropolitan Statistical Area;34975.176;1;0;0;0;0;0;0;0;1
14140;Bluefield, WV-VA Micropolitan Statistical Area;26908.246;0;0;0;1;0;0;0;0;0
14180;Blytheville, AR Micropolitan Statistical Area;27479;0;0;0;0;0;1;0;0;0
14220;Bogalusa, LA Micropolitan Statistical Area;24264;0;0;0;0;0;1;0;0;0
