"id";"name";"pop2000";"pop2001";"pop2002";"pop2003";"pop2004";"pop2005";"pop2006";"pop2007";"pop2008";"pop2009"
10020;"Abbeville, LA Micropolitan Statistical Area";53966;53952;54223;54161;54368;54909;55313;55629;56068;56141
10100;"Aberdeen, SD Micropolitan Statistical Area";39735;39401;39116;39005;38931;38943;38886;39026;38991;39139
10140;"Aberdeen, WA Micropolitan Statistical Area";67149;68004;68313;69036;69634;70144;70854;71343;71447;71797
10220;"Ada, OK Micropolitan Statistical Area";35162;34917;35010;35146;35234;35439;35721;36411;36948;37422
10300;"Adrian, MI Micropolitan Statistical Area";99070;99573;100167;100466;100911;100939;101249;101184;100720;99837
10460;"Alamogordo, NM Micropolitan Statistical Area";62231;61403;61540;62293;63363;63322;62872;63306;63329;63201
10540;"Albany-Lebanon, OR Micropolitan Statistical Area";103015;103594;104645;106095;106894;108244;110923;113094;115369;116584
10620;"Albemarle, NC Micropolitan Statistical Area";58255;58596;58512;58433;58252;58434;58585;59183;59685;59794
10660;"Albert Lea, MN Micropolitan Statistical Area";32542;32430;31964;31885;31767;31479;31364;31235;30977;31002
10700;"Albertville, AL Micropolitan Statistical Area";82333;82191;82922;83592;84161;85298;86760;87970;89200;90399
10760;"Alexander City, AL Micropolitan Statistical Area";53586;53136;52486;52116;51761;51409;51576;51580;51644;51564
10820;"Alexandria, MN Micropolitan Statistical Area";32919;33248;33657;34166;34607;35160;35526;35970;36224;36390
10860;"Alice, TX Micropolitan Statistical Area";39375;39767;39939;40147;40504;40680;40683;41055;40963;41001
10880;"Allegan, MI Micropolitan Statistical Area";106048;107752;108798;109920;111153;111945;112414;112920;113355;113449
10940;"Alma, MI Micropolitan Statistical Area";42473;42463;42316;42336;42318;42149;42326;42388;42339;41948
10980;"Alpena, MI Micropolitan Statistical Area";31276;31126;30845;30638;30476;30162;29807;29732;29600;29289
11060;"Altus, OK Micropolitan Statistical Area";28254;27890;27347;27203;27181;26471;26241;25739;25336;25369
11140;"Americus, GA Micropolitan Statistical Area";37036;37004;36881;36786;36505;36304;36481;36685;36584;36409
11220;"Amsterdam, NY Micropolitan Statistical Area";49653;49336;49006;48938;48768;48634;48681;48606;48623;48616
11380;"Andrews, TX Micropolitan Statistical Area";12911;12769;12887;12816;12794;12743;12868;13144;13662;14057
11420;"Angola, IN Micropolitan Statistical Area";33316;33476;33350;33552;33413;33543;33591;33496;33513;33579
11580;"Arcadia, FL Micropolitan Statistical Area";32262;32603;32662;33531;34240;34258;34764;35096;35036;35297
11620;"Ardmore, OK Micropolitan Statistical Area";54418;54324;54680;54993;55547;55660;56028;56349;56813;57450
11660;"Arkadelphia, AR Micropolitan Statistical Area";23508;23654;23548;23294;23237;23209;23392;23684;23883;23835
11740;"Ashland, OH Micropolitan Statistical Area";52584;52823;53045;53454;53609;53958;54317;54810;54982;55044
11780;"Ashtabula, OH Micropolitan Statistical Area";102745;102665;102609;102473;102262;102051;101686;101400;100973;100767
11820;"Astoria, OR Micropolitan Statistical Area";35571;35542;35606;35778;36060;36447;36763;37088;37093;37243
11860;"Atchison, KS Micropolitan Statistical Area";16765;16792;16699;16688;16700;16567;16548;16447;16374;16411
11900;"Athens, OH Micropolitan Statistical Area";62323;62832;63055;63258;62475;63143;63136;62863;63199;63026
